"Permit_Number","Owner_Name","Operating_Name","Street","City","State","Prem_Zip","Prem_County","Industry_Type","New_Permit_Flag"
"AZ-W-15004","KEELING SCHAEFER VINEYARDS LLC",,"10277 E ROCK CREEK LN","PEARCE","AZ",85625,"COCHISE","Wine Producer",0
"AZ-W-15007","BOSTOCK WINERY INC","BOSTOCK WINERY","3248 HIGHWAY 82","SONOITA","AZ",85637,"SANTA CRUZ","Wine Producer",0
"AZ-W-15008","ALCANTARA, L.L.C.","ALCANTARA VINEYARDS & WINERY","3445 S GRAPEVINE WAY","COTTONWOOD","AZ",86326,"YAVAPAI","Wine Producer",0
"AZ-W-15010","SYCAMORE CANYON WINERY, LLC","SYCAMORE CANYON WINERY","2620 DANCING APACHE RD","CORNVILLE","AZ",86325,"YAVAPAI","Wine Producer",0
"AZ-W-15011","CORONADO VINEYARDS, INC.","CORONADO VINEYARDS","2909 E COUNTRY CLUB DR","WILLCOX","AZ",85643,"COCHISE","Wine Producer",0
"AZ-W-15012","SU VINO WINERY SCOTTSDALE, INC.","SU VINO WINERY","16099 N 82ND ST STE B9","SCOTTSDALE","AZ",85260,"MARICOPA","Wine Producer",0
"AZ-W-15016","LIGHTNING RIDGE CELLARS, LLC",,"2368 HIGHWAY 83","ELGIN","AZ",85611,"SANTA CRUZ","Wine Producer",0
"AZ-W-15017","CLEAR CREEK VINEYARD AND WINERY LLC",,"4053 E HIGHWAY 260","CAMP VERDE","AZ",86322,"YAVAPAI","Wine Producer",0
"AZ-W-15018","ZEMPER RESERVE LLC","STUDIO VINO","1825 E GUADALUPE RD STE 105","TEMPE","AZ",85283,"MARICOPA","Wine Producer",0
"AZ-W-15019","WILHELM FAMILY VINEYARDS, LLC","WILHELM FAMILY VINEYARDS","21 MOUNTAIN RANCH DR","ELGIN","AZ",85611,"SANTA CRUZ","Wine Producer",0
"AZ-W-15021","ARIZONA STRONGHOLD VINEYARDS, LLC",,"4700 OLD HIGHWAY 279","CAMP VERDE","AZ",86322,"YAVAPAI","Wine Producer",0
